34800;Institut für Anorganische Chemie                                                                                                                                                                        
35100;Institut für Anwendungsorientierte Wissensverarbeitung                                                                                                                                                  
36500;Institut für Bioinformatik                                                                                                                                                                              
32000;Institut für Biophysik                                                                                                                                                                                  
32020;Abteilung für Angewandte Experimentelle Biophysik                                                                                                                                                       
32010;Abteilung für Molekulare Biophysik und Membranbiophysik                                                                                                                                                 
31700;Institut für Chemische Technologie Anorganischer Stoffe                                                                                                                                                 
31800;Institut für Chemische Technologie Organischer Stoffe                                                                                                                                                   
34400;Institut für Comp.Perception                                                                                                                                                                            
36600;Institut für Computer Architektur                                                                                                                                                                       
36610;Abteilung für Angewandte Systemforschung und Statistik                                                                                                                                                  
36400;Institut für Computergrafik                                                                                                                                                                             
36300;Institut für Design und Regelung mechatronischer Systeme                                                                                                                                                
36200;Institut für Elektrische Antriebe und Leistungselektronik                                                                                                                                               
33200;Institut für Elektrische Messtechnik                                                                                                                                                                    
31400;Institut für Experimentalphysik                                                                                                                                                                         
31410;Abteilung für Atom- und Oberflächenphysik                                                                                                                                                               
31420;Abteilung für Didaktik der Physik                                                                                                                                                                       
31440;Abteilung für Physik der weichen Materie                                                                                                                                                                
34200;Institut für Formale Modelle und Verifikation                                                                                                                                                           
32200;Institut für Halbleiter- und Festkörperphysik                                                                                                                                                           
32220;Abteilung für Festkörperphysik                                                                                                                                                                          
32210;Abteilung für Halbleiterphysik                                                                                                                                                                          
32230;Abteilung für Nanoelektronik                                                                                                                                                                            
32300;Institut für Industriemathematik                                                                                                                                                                        
33600;Institut für Integrierte Schaltungen                                                                                                                                                                    
33620;Abteilung für Energieeffiziente Analoge Schaltungen                                                                                                                                                     
33610;Abteilung für Integrierten Schaltungs- und Systementwurf                                                                                                                                                
33630;Abteilung für Medizinelektronik                                                                                                                                                                         
38400;Institut für Katalyse                                                                                                                                                                                   
35000;Institut für Konstruktiven Leichtbau                                                                                                                                                                    
35800;Institut für Maschinenlehre und hydraulische Antriebe                                                                                                                                                   
37100;Institut für Mechatronische Produktentwicklung und Fertigung                                                                                                                                            
38300;Institut für Medizin- und Biomechatronik                                                                                                                                                                
33100;Institut für Mikroelektronik und Mikrosensorik                                                                                                                                                          
33500;Institut für Nachrichtentechnik und Hochfrequenzsysteme                                                                                                                                                 
33520;Abteilung für Hochfrequenzsysteme                                                                                                                                                                       
33510;Abteilung für Nachrichtentechnik                                                                                                                                                                        
35300;Institut für Netzwerke und Sicherheit                                                                                                                                                                   
32700;Institut für Numerische Mathematik                                                                                                                                                                      
34700;Institut für Organische Chemie                                                                                                                                                                          
35400;Institut für Organische Solarzellen (LIOS)                                                                                                                                                              
34000;Institut für Pervasive Computing                                                                                                                                                                        
34600;Institut für Physikalische Chemie                                                                                                                                                                       
37900;Institut für Polymer Extrusion and Compounding                                                                                                                                                          
38100;Institut für Polymer Injection Moulding and Process Automation                                                                                                                                          
37800;Institut für Polymer Product Engineering                                                                                                                                                                
34900;Institut für Polymerwissenschaften                                                                                                                                                                      
36100;Institut für Regelungstechnik und Prozessautomatisierung                                                                                                                                                
37000;Institut für Robotik                                                                                                                                                                                    
34300;Institut für Software Systems Engineering                                                                                                                                                               
36900;Institut für Stochastik                                                                                                                                                                                 
36000;Institut für Strömungslehre und Wärmeübertragung                                                                                                                                                        
36010;Abteilung für Particulate Flow Modelling                                                                                                                                                                
32600;Institut für Symbolisches Rechnen                                                                                                                                                                       
33900;Institut für Systemsoftware                                                                                                                                                                             
35900;Institut für Technische Mechanik                                                                                                                                                                        
36700;Institut für Telekooperation                                                                                                                                                                            
36710;Abteilung für Kooperative Informationssysteme                                                                                                                                                           
31300;Institut für Theoretische Physik                                                                                                                                                                        
31320;Abteilung für Theoretische Biophysik                                                                                                                                                                    
31310;Abteilung für Vielteilchensysteme                                                                                                                                                                       
33700;Institut für Verfahrenstechnik                                                                                                                                                                          
35700;Institut für wissensbasierte mathematische Systeme                                                                                                                                                      
38000;Institute of Polymeric Materials and Testing                                                                                                                                                            
39000;JKU Hörbiger Research Institute for Smart Actuators                                                                                                                                                     
37700;Zentrum für Oberflächen- und Nanoanalytik (ZONA)                                                                                                                                                        
58600;Forschungsinst.f. Medizindiagnostik u.Gerätetechn.                                                                                                                                                      
57300;Institut Integriert Studieren                                                                                                                                                                           
53600;Institut für Frauen und Geschlechterforschung                                                                                                                                                           
59000;Institut für Integrierte Qualitätsgestaltung                                                                                                                                                            
52800;Zentrum für Fernstudien / Leitung                                                                                                                                                                       
52820;Zentrum für Fernstudien Bregenz                                                                                                                                                                         
52810;Zentrum für Fernstudien Linz                                                                                                                                                                            
52830;Zentrum für Fernstudien Wien                                                                                                                                                                            
54700;Zentrum für Fachsprachen und interkulturelle Kommunikation                                                                                                                                              
